"arcLength", "radius", "height", "normalX", "normalY", "thickness", "thickX", "thickY"
 1316.00100,      500,      916,    2.000000,0.000000,    26.32002, 26.32002,  0.00000
 1317.00100,      500,      917,    2.000000,0.000000,    26.34002, 26.34002,  0.00000
 1318.00100,      500,      918,    2.000000,0.000000,    26.36002, 26.36002,  0.00000
 1319.00100,      500,      919,    2.000000,0.000000,    26.38002, 26.38002,  0.00000
 1320.00100,      500,      920,    2.000000,0.000000,    26.40002, 26.40002,  0.00000
 1321.00100,      500,      921,    2.000000,0.000000,    26.42002, 26.42002,  0.00000
 1322.00100,      500,      922,    2.000000,0.000000,    26.44002, 26.44002,  0.00000
 1323.00100,      500,      923,    2.000000,0.000000,    26.46002, 26.46002,  0.00000
 1324.00100,      500,      924,    2.000000,0.000000,    26.48002, 26.48002,  0.00000
 1325.00100,      500,      925,    2.000000,0.000000,    26.50002, 26.50002,  0.00000
 1326.00100,      500,      926,    2.000000,0.000000,    26.52002, 26.52002,  0.00000
 1327.00100,      500,      927,    2.000000,0.000000,    26.54002, 26.54002,  0.00000
 1328.00100,      500,      928,    2.000000,0.000000,    26.56002, 26.56002,  0.00000
 1329.00100,      500,      929,    2.000000,0.000000,    26.58002, 26.58002,  0.00000
 1330.00100,      500,      930,    2.000000,0.000000,    26.60002, 26.60002,  0.00000
 1331.00100,      500,      931,    2.000000,0.000000,    26.62002, 26.62002,  0.00000
 1332.00100,      500,      932,    2.000000,0.000000,    26.64002, 26.64002,  0.00000
 1333.00100,      500,      933,    2.000000,0.000000,    26.66002, 26.66002,  0.00000
 1334.00100,      500,      934,    2.000000,0.000000,    26.68002, 26.68002,  0.00000
 1335.00100,      500,      935,    2.000000,0.000000,    26.70002, 26.70002,  0.00000
 1336.00100,      500,      936,    2.000000,0.000000,    26.72002, 26.72002,  0.00000
 1337.00100,      500,      937,    2.000000,0.000000,    26.74002, 26.74002,  0.00000
 1338.00100,      500,      938,    2.000000,0.000000,    26.76002, 26.76002,  0.00000
 1339.00100,      500,      939,    2.000000,0.000000,    26.78002, 26.78002,  0.00000
